"Gene Symbol"	"Gene Name"
"VAPB"	"VAMP (vesicle-associated membrane protein)-associated protein B and C"
"CDCA7"	"Cell division cycle associated 7"
"TAP2"	"Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
"TMEM101"	"Transmembrane protein 101"
"CXCL16"	"Chemokine (C-X-C motif) ligand 16"
	"Transcribed locus"
"C14orf149"	"Chromosome 14 open reading frame 149"
"SYNCRIP"	"Synaptotagmin binding, cytoplasmic RNA interacting protein"
	"Transcribed locus"
"KIAA1109"	"KIAA1109"
"TMEM42"	"Transmembrane protein 42"
"SAR1B"	"SAR1 gene homolog B (S. cerevisiae)"
"FAM126A"	"Family with sequence similarity 126, member A"
	"Transcribed locus"
"C9orf5"	"Chromosome 9 open reading frame 5"
"CORO1C"	"Coronin, actin binding protein, 1C"
"CXorf36"	"Chromosome X open reading frame 36"
	"CDNA clone IMAGE:4793058"
"FAM116A"	"Family with sequence similarity 116, member A"
"STC2"	"Stanniocalcin 2"
"C10orf57"	"Chromosome 10 open reading frame 57"
	"CDNA: FLJ21245 fis, clone COL01184"
"ZC3H14"	"Zinc finger CCCH-type containing 14"
	"Full-length cDNA clone CS0DL007YI24 of B cells (Ramos cell line) Cot 25-normalized of Homo sapiens (human)"
"AMOT"	"Angiomotin"
	
	"Transcribed locus"
	"Transcribed locus"
"CGREF1"	"**Cell growth regulator with EF-hand domain 1"
"ELAVL4"	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)"
	"Full-length cDNA clone CS0DC012YG05 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)"
	"Transcribed locus"
"TMEM53"	"Transmembrane protein 53"
"C3orf50"	"Chromosome 3 open reading frame 50"
	"**MRNA; cDNA DKFZp564B213 (from clone DKFZp564B213)"
	
	"Transcribed locus"
"MLLT3"	"Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3"
"ARL1"	"ADP-ribosylation factor-like 1"
"EWSR1"	"Ewing sarcoma breakpoint region 1"
"COMT"	"Catechol-O-methyltransferase"
"SLC25A6"	"Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6"
"ASS1"	"Argininosuccinate synthetase 1"
"RAD51"	"RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)"
"SNPH"	"Syntaphilin"
"IDS"	"Iduronate 2-sulfatase (Hunter syndrome)"
"ATP6V1B2"	"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2"
"KIAA0258"	"KIAA0258"
"SERPINA5"	"Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5"
"KIF5C"	"Kinesin family member 5C"
"CD22"	"CD22 molecule"
"CDC5L"	"CDC5 cell division cycle 5-like (S. pombe)"
"MRPL49"	"Mitochondrial ribosomal protein L49"
	"Transcribed locus"
"EMP3"	"Epithelial membrane protein 3"
"MLH3"	"MutL homolog 3 (E. coli)"
"CAPN5"	"Calpain 5"
"ROBO1"	"Roundabout, axon guidance receptor, homolog 1 (Drosophila)"
"CBLB"	"Cas-Br-M (murine) ecotropic retroviral transforming sequence b"
"VTI1B"	"Vesicle transport through interaction with t-SNAREs homolog 1B (yeast)"
"CHAF1A"	"Chromatin assembly factor 1, subunit A (p150)"
"DUS4L"	"Dihydrouridine synthase 4-like (S. cerevisiae)"
	
"LOC145474"	"**Hypothetical protein LOC145474"
"LRP5"	"Low density lipoprotein receptor-related protein 5"
"KIAA1147"	"KIAA1147"
	
	"Transcribed locus, moderately similar to XP_529427.1 hypothetical protein XP_529427 [Pan troglodytes]"
"MS4A7"	"Membrane-spanning 4-domains, subfamily A, member 7"
	
"ORC6L"	"Origin recognition complex, subunit 6 like (yeast)"
	
"POLR3B"	"Polymerase (RNA) III (DNA directed) polypeptide B"
"GPBP1"	"GC-rich promoter binding protein 1"
"SMAD5"	"SMAD family member 5"
"CSNK1G3"	"Casein kinase 1, gamma 3"
"CCDC127"	"Coiled-coil domain containing 127"
	
"GNB4"	"Guanine nucleotide binding protein (G protein), beta polypeptide 4"
"RP11-162I21.1"	"**Similar to protein of unknown function"
"SGPP1"	"Sphingosine-1-phosphate phosphatase 1"
"TRIMP1"	"Tripartite motif-containing pseudogene 1"
"MGC15523"	"Hypothetical protein MGC15523"
"KCTD13"	"Potassium channel tetramerisation domain containing 13"
	"Transcribed locus, strongly similar to XP_001151335.1 hypothetical protein [Pan troglodytes]"
	
	"Transcribed locus, strongly similar to XP_525175.1 similar to peroxisomal biogenesis factor 14; NF-E2 associated polypeptide 2 [Pan troglodytes]"
"MTF1"	"Metal-regulatory transcription factor 1"
"TRAF7"	"TNF receptor-associated factor 7"
	"**CDNA FLJ11723 fis, clone HEMBA1005314"
"PHF20L1"	"PHD finger protein 20-like 1"
"KIAA1648"	"KIAA1648 protein"
	"Full length insert cDNA YQ07B06"
"NUDC"	"Nuclear distribution gene C homolog (A. nidulans)"
"2'-PDE"	"2'-phosphodiesterase"
	"CDNA FLJ39083 fis, clone NT2RP7018802"
"CA13"	"Carbonic anhydrase XIII"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	"Transcribed locus"
	"Transcribed locus"
"ANKRD12"	"Ankyrin repeat domain 12"
	"Transcribed locus"
	"Transcribed locus, moderately similar to XP_001167546.1 zinc finger CCHC-type and RNA binding motif 1 isoform 3 [Pan troglodytes]"
	"Transcribed locus"
	"Transcribed locus"
	
	
	"Transcribed locus"
"SLC4A8"	"Solute carrier family 4, sodium bicarbonate cotransporter, member 8"
"LOC728509"	"**Similar to ribosomal protein S19"
	"Transcribed locus"
	
"TSC22D4"	"TSC22 domain family, member 4"
"TBC1D23"	"**TBC1 domain family, member 23"
"ITM2C"	"Integral membrane protein 2C"
	"Transcribed locus"
	
"SLC4A8"	"Solute carrier family 4, sodium bicarbonate cotransporter, member 8"
	"Transcribed locus"
	"Transcribed locus"
	"CDNA FLJ43441 fis, clone OCBBF2030574"
	"Transcribed locus"
	"Transcribed locus"
	"*mitoch. cont."
	
	"Transcribed locus"
	
"RHPN1"	"Rhophilin, Rho GTPase binding protein 1"
	"Transcribed locus"
	
"TUBE1"	"Tubulin, epsilon 1"
	"Transcribed locus"
	"Transcribed locus"
"RP5-860F19.3"	"KIAA1442 protein"
	"CDNA FLJ38935 fis, clone NT2NE2014681"
	"Transcribed locus, strongly similar to XP_531118.1 hypothetical protein XP_531118 [Pan troglodytes]"
"TSNARE1"	"**T-SNARE domain containing 1"
"SERPINF2"	"**Serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2"
"SLC6A13"	"**Solute carrier family 6 (neurotransmitter transporter, GABA), member 13"
	"Transcribed locus"
	
	"**Transcribed locus"
"HOMEZ"	"Homeobox and leucine zipper encoding"
	
	"CDNA FLJ43532 fis, clone PLACE7001022"
	"Transcribed locus"
"EGFLAM"	"EGF-like, fibronectin type III and laminin G domains"
"SYN2"	"Synapsin II"
"TCERG1L"	"Transcription elongation regulator 1-like"
	
	"Transcribed locus"
	
"CRYZ"	"Crystallin, zeta (quinone reductase)"
	"Transcribed locus, weakly similar to NP_031494.2 A-IV [Mus musculus]"
"UPF1"	"UPF1 regulator of nonsense transcripts homolog (yeast)"
	"Transcribed locus"
"LILRB3"	"Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"
"GBGT1"	"Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1"
"PRAC"	"Small nuclear protein PRAC"
	
"ARMCX4"	"Armadillo repeat containing, X-linked 4"
	
	"Transcribed locus"
	"Transcribed locus"
	"Clone HLS_IMAGE_1699118 mRNA sequence"
	"Transcribed locus"
	"Transcribed locus"
	
	"Transcribed locus"
	
	"CDNA FLJ41186 fis, clone BRACE2044105"
"PIP"	"Prolactin-induced protein"
"SEMG1"	"Semenogelin I"
"PRRX2"	"Paired related homeobox 2"
"ARSB"	"Arylsulfatase B"
"LOC143244"	"**Similar to Eukaryotic translation initiation factor 5A (eIF-5A) (eIF-4D) (Rev-binding factor)"
	
	"Transcribed locus"
"KLK3"	"Kallikrein-related peptidase 3"
	
"CFL2"	"Cofilin 2 (muscle)"
	"Transcribed locus"
	
	"Transcribed locus"
	
	
	"Transcribed locus, weakly similar to XP_517655.1 similar to KIAA0825 protein [Pan troglodytes]"
	"Transcribed locus"
	
	"Transcribed locus"
	
	
	
	
"CCDC74A"	"Coiled-coil domain containing 74A"
"LOC387745"	"Similar to CG7889-PA"
	"Transcribed locus"
"PANX1"	"Pannexin 1"
"GRINA"	"Glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)"
	
	"Transcribed locus"
"PSMC6"	"Proteasome (prosome, macropain) 26S subunit, ATPase, 6"
"R3HDM2"	"R3H domain containing 2"
"MON2"	"MON2 homolog (S. cerevisiae)"
	"Transcribed locus"
	
"SFXN3"	"Sideroflexin 3"
"TRIM31"	"Tripartite motif-containing 31"
"GPA33"	"Glycoprotein A33 (transmembrane)"
"hCG_1783907"	"**Metastasis associated 1 family, member 3"
	
"STX16"	"Syntaxin 16"
	
	
"LOC729096"	"**Similar to BMS1-like, ribosome assembly protein"
	
	"Transcribed locus"
"DAZ1"	"Deleted in azoospermia 1"
	
	
"TM2D1"	"**TM2 domain containing 1"
	
"SFTPD"	"Surfactant, pulmonary-associated protein D"
"AGR3"	"Anterior gradient homolog 3 (Xenopus laevis)"
	"Transcribed locus"
	"Transcribed locus"
	
	
	"Transcribed locus"
"EMILIN3"	"**Elastin microfibril interfacer 3"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
"PTPN11"	"Protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)"
"PPP2R1A"	"Protein phosphatase 2 (formerly 2A), regulatory subunit A , alpha isoform"
"PSMA6"	"Proteasome (prosome, macropain) subunit, alpha type, 6"
"PSMAL"	"Growth-inhibiting protein 26"
"PSG1"	"Pregnancy specific beta-1-glycoprotein 1"
"PTDSS1"	"Phosphatidylserine synthase 1"
"MMP7"	"Matrix metallopeptidase 7 (matrilysin, uterine)"
	"Transcribed locus, weakly similar to XP_235795.3 similar to matrix metalloproteinase 27 [Rattus norvegicus]"
"MGAT3"	"Mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase"
"MBL2"	"Mannose-binding lectin (protein C) 2, soluble (opsonic defect)"
"MAP3K10"	"Mitogen-activated protein kinase kinase kinase 10"
"MYB"	"V-myb myeloblastosis viral oncogene homolog (avian)"
"DAZAP2"	"DAZ associated protein 2"
"CENTB2"	"Centaurin, beta 2"
"CD302"	"**CD302 molecule"
"ARHGEF6"	"Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6"
"VEZF1"	"Vascular endothelial zinc finger 1"
"AEBP1"	"AE binding protein 1"
"RBM6"	"RNA binding motif protein 6"
"FXR2"	"Fragile X mental retardation, autosomal homolog 2"
"MPPED2"	"Metallophosphoesterase domain containing 2"
"EYA2"	"Eyes absent homolog 2 (Drosophila)"
"KLF1"	"Kruppel-like factor 1 (erythroid)"
"ELN"	"Elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)"
"HNRPU"	"Heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)"
"HSF2"	"Heat shock transcription factor 2"
"ATP13A3"	"**ATPase type 13A3"
"PLEKHC1"	"Pleckstrin homology domain containing, family C (with FERM domain) member 1"
"CDKL5"	"Cyclin-dependent kinase-like 5"
"TSNAX"	"Translin-associated factor X"
"FXYD3"	"FXYD domain containing ion transport regulator 3"
"CD163"	"CD163 molecule"
"CLNS1A"	"Chloride channel, nucleotide-sensitive, 1A"
"TMEM187"	"Chromosome X open reading frame 12"
"ST3GAL4"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
"PIGK"	"**Phosphatidylinositol glycan anchor biosynthesis, class K"
"ATP6V0C"	"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c"
"BRAF"	"V-raf murine sarcoma viral oncogene homolog B1"
"COPS5"	"COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)"
"ABL1"	"V-abl Abelson murine leukemia viral oncogene homolog 1"
"PLAU"	"Plasminogen activator, urokinase"
"UBE2I"	"Ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)"
"STIL"	"SCL/TAL1 interrupting locus"
"STX5"	"Syntaxin 5"
"SDC2"	"Syndecan 2"
"SFTPA2"	"Surfactant, pulmonary-associated protein A2"
"SOD1"	"Superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))"
"SDHA"	"Succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"
"CKMT1A"	"Creatine kinase, mitochondrial 1A"
"ADAM15"	"ADAM metallopeptidase domain 15 (metargidin)"
"CITED1"	"**Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1"
"MAB21L1"	"Mab-21-like 1 (C. elegans)"
"M-RIP"	"Myosin phosphatase-Rho interacting protein"
"DCBLD2"	"Discoidin, CUB and LCCL domain containing 2"
"MCF2L"	"MCF.2 cell line derived transforming sequence-like"
"LBA1"	"Lupus brain antigen 1"
"SR140"	"U2-associated SR140 protein"
"ZNF629"	"Zinc finger protein 629"
"KIAA0317"	"KIAA0317"
"RAPGEF2"	"Rap guanine nucleotide exchange factor (GEF) 2"
"TCEAL1"	"Transcription elongation factor A (SII)-like 1"
"POLR2J"	"Polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa"
"NUMB"	"Numb homolog (Drosophila)"
"NDUFA9"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa"
"WDR55"	"**WD repeat domain 55"
"HMGA1"	"High mobility group AT-hook 1"
"DYRK2"	"Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2"
"PHKB"	"Phosphorylase kinase, beta"
"HRB"	"HIV-1 Rev binding protein"
"FADD"	"Fas (TNFRSF6)-associated via death domain"
"SPARCL1"	"SPARC-like 1 (mast9, hevin)"
"GAMT"	"Guanidinoacetate N-methyltransferase"
	"**CDNA FLJ41679 fis, clone HCASM2003212"
"FGG"	"Fibrinogen gamma chain"
"ANKRD13D"	"Ankyrin repeat domain 13 family, member D"
"C17orf81"	"Chromosome 17 open reading frame 81"
"USP15"	"Ubiquitin specific peptidase 15"
"DOCK7"	"Dedicator of cytokinesis 7"
	"Transcribed locus"
	
	
"TMF1"	"TATA element modulatory factor 1"
"JMJD1B"	"Jumonji domain containing 1B"
"LOC644941"	"Similar to fatty acid amide hydrolase"
"RPS3A"	"**Ribosomal protein S3A"
"UAP1"	"UDP-N-acteylglucosamine pyrophosphorylase 1"
	
"ZNF676"	"Zinc finger protein 676"
"ZNF513"	"**Zinc finger protein 513"
"SF3B5"	"Splicing factor 3b, subunit 5, 10kDa"
"IMP3"	"IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)"
"EPB41L4B"	"Erythrocyte membrane protein band 4.1 like 4B"
"SEC61A2"	"Sec61 alpha 2 subunit (S. cerevisiae)"
"PTGER4"	"Prostaglandin E receptor 4 (subtype EP4)"
"ABCF2"	"ATP-binding cassette, sub-family F (GCN20), member 2"
"STIM2"	"Stromal interaction molecule 2"
"LOC285812"	"Hypothetical protein LOC285812"
	
	
"GALNT10"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)"
"TRPV2"	"Transient receptor potential cation channel, subfamily V, member 2"
	
	"CDNA FLJ26031 fis, clone PNC08078"
	"Transcribed locus"
"TMEM138"	"Transmembrane protein 138"
	
"NAT8"	"N-acetyltransferase 8"
	
"ZSWIM3"	"Zinc finger, SWIM-type containing 3"
"ARHGAP9"	"Rho GTPase activating protein 9"
"DTL"	"Denticleless homolog (Drosophila)"
"ZNF202"	"Zinc finger protein 202"
"PB1"	"Polybromo 1"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	
	
"SAP30L"	"SAP30-like"
	"Transcribed locus"
	"Transcribed locus"
"SLC35A3"	"Solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3"
"KIAA1571"	"KIAA1571 protein"
	"CDNA FLJ35508 fis, clone SMINT2011958"
	"Transcribed locus, moderately similar to XP_001141822.1 similar to src homology 3 domain-containing protein HIP-55 isoform 9 [Pan troglodytes]"
	"Transcribed locus"
	
	"CDNA FLJ31513 fis, clone NT2RI1000127"
	"Transcribed locus"
	"CDNA FLJ33489 fis, clone BRAMY2003585"
	"Transcribed locus"
	
	"CDNA FLJ40180 fis, clone TESTI2018035"
	
"ZMYM6"	"Zinc finger, MYM-type 6"
	"Full length insert cDNA clone YU07D12"
	
	"Transcribed locus"
"C18orf17"	"Chromosome 18 open reading frame 17"
	"Transcribed locus"
"RRAGD"	"Ras-related GTP binding D"
	
	"Transcribed locus"
"FCHO2"	"FCH domain only 2"
"GPD2"	"**Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)"
	
"RAPH1"	"Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"RBM13"	"**RNA binding motif protein 13"
"C7orf49"	"Chromosome 7 open reading frame 49"
"ZNF605"	"Zinc finger protein 605"
"TRIM25"	"Tripartite motif-containing 25"
"NR5A2"	"**Nuclear receptor subfamily 5, group A, member 2"
"YAP1"	"Yes-associated protein 1, 65kDa"
"PIK3AP1"	"Phosphoinositide-3-kinase adaptor protein 1"
"EHD3"	"EH-domain containing 3"
"SNX13"	"Sorting nexin 13"
"PHC1"	"Polyhomeotic homolog 1 (Drosophila)"
"MEF2C"	"MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)"
"MYST3"	"MYST histone acetyltransferase (monocytic leukemia) 3"
"GRM3"	"Glutamate receptor, metabotropic 3"
"WIPI2"	"WD repeat domain, phosphoinositide interacting 2"
"FAAH"	"Fatty acid amide hydrolase"
"TEAD3"	"TEA domain family member 3"
"TGOLN2"	"Trans-golgi network protein 2"
"RPS6KB2"	"Ribosomal protein S6 kinase, 70kDa, polypeptide 2"
	
"MOV10"	"Mov10, Moloney leukemia virus 10, homolog (mouse)"
"PPP2R2C"	"Protein phosphatase 2 (formerly 2A), regulatory subunit B, gamma isoform"
"RBM18"	"RNA binding motif protein 18"
	
"TBPL1"	"TBP-like 1"
	"Transcribed locus"
	
"TRIM26"	"**Tripartite motif-containing 26"
"ACSS2"	"Acyl-CoA synthetase short-chain family member 2"
"ZNF627"	"Zinc finger protein 627"
"PPARA"	"Peroxisome proliferator-activated receptor alpha"
"SULT1E1"	"Sulfotransferase family 1E, estrogen-preferring, member 1"
"FLJ20699"	"Hypothetical protein FLJ20699"
"SNX27"	"Sorting nexin family member 27"
	"Transcribed locus"
	"CDNA FLJ44142 fis, clone THYMU2016523"
	
	"CDNA FLJ37884 fis, clone BRSTN2012451"
"CWF19L2"	"CWF19-like 2, cell cycle control (S. pombe)"
	"Transcribed locus"
"DNAJC14"	"**DnaJ (Hsp40) homolog, subfamily C, member 14"
"BACE2"	"Beta-site APP-cleaving enzyme 2"
"WDR90"	"WD repeat domain 90"
"R3HCC1"	"R3H domain and coiled-coil containing 1"
	
"LOC84661"	"Dpy-30-like protein"
"SETD3"	"SET domain containing 3"
	
	"Transcribed locus"
	"MRNA; cDNA DKFZp434E0528 (from clone DKFZp434E0528)"
"WDR33"	"WD repeat domain 33"
"DNAJC16"	"DnaJ (Hsp40) homolog, subfamily C, member 16"
"ROPN1L"	"Ropporin 1-like"
"LIG3"	"Ligase III, DNA, ATP-dependent"
	
"DKFZp686O1327"	"Hypothetical gene supported by BC043549; BX648102"
	"**Transcribed locus"
"PPP2R3C"	"Protein phosphatase 2 (formerly 2A), regulatory subunit B'', gamma"
	
"ABHD5"	"Abhydrolase domain containing 5"
"P2RX7"	"**Purinergic receptor P2X, ligand-gated ion channel, 7"
	"MRNA; cDNA DKFZp761L1121 (from clone DKFZp761L1121)"
"ATP10A"	"ATPase, Class V, type 10A"
	"MRNA; cDNA DKFZp547C072 (from clone DKFZp547C072)"
"C9orf80"	"Chromosome 9 open reading frame 80"
"CCBL1"	"Cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)"
"PRMT2"	"Protein arginine methyltransferase 2"
"CUEDC1"	"CUE domain containing 1"
"DEPDC7"	"DEP domain containing 7"
	"Transcribed locus"
	
	"Transcribed locus"
	
"RNF32"	"Ring finger protein 32"
	
"PDSS1"	"Prenyl (decaprenyl) diphosphate synthase, subunit 1"
	
"RNASET2"	"Ribonuclease T2"
"DZIP1"	"DAZ interacting protein 1"
	"Transcribed locus"
"PCMTD1"	"Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"NXF3"	"Nuclear RNA export factor 3"
"C9orf41"	"Chromosome 9 open reading frame 41"
	"Transcribed locus"
"NANOS1"	"Nanos homolog 1 (Drosophila)"
"CPSF2"	"Cleavage and polyadenylation specific factor 2, 100kDa"
"COX5B"	"Cytochrome c oxidase subunit Vb"
"SLC23A2"	"**Solute carrier family 23 (nucleobase transporters), member 2"
"ANKS1B"	"Ankyrin repeat and sterile alpha motif domain containing 1B"
"STXBP6"	"Syntaxin binding protein 6 (amisyn)"
	"Full-length cDNA clone CS0DM002YA18 of Fetal liver of Homo sapiens (human)"
"HIPK2"	"Homeodomain interacting protein kinase 2"
"IKZF4"	"IKAROS family zinc finger 4 (Eos)"
"SFRS9"	"Splicing factor, arginine/serine-rich 9"
"MS4A6A"	"Membrane-spanning 4-domains, subfamily A, member 6A"
"HS3ST3B1"	"Heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1"
"ACIN1"	"Apoptotic chromatin condensation inducer 1"
	"Transcribed locus"
	
	
"MRPS6"	"Mitochondrial ribosomal protein S6"
"EIF1AY"	"Eukaryotic translation initiation factor 1A, Y-linked"
"EPB41"	"Erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)"
"PHCA"	"Phytoceramidase, alkaline"
"SEPHS1"	"Selenophosphate synthetase 1"
	"Transcribed locus"
	"**Transcribed locus"
"ASAH1"	"N-acylsphingosine amidohydrolase (acid ceramidase) 1"
"PTPN13"	"Protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)"
"MAP3K11"	"Mitogen-activated protein kinase kinase kinase 11"
"PSG3"	"**Pregnancy specific beta-1-glycoprotein 3"
"FXYD1"	"FXYD domain containing ion transport regulator 1 (phospholemman)"
"UBE2G1"	"Ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)"
"SEMA3C"	"Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
"AOC2"	"Amine oxidase, copper containing 2 (retina-specific)"
"PIGC"	"Phosphatidylinositol glycan anchor biosynthesis, class C"
"CFDP1"	"Craniofacial development protein 1"
"OLR1"	"Oxidized low density lipoprotein (lectin-like) receptor 1"
"GAK"	"Cyclin G associated kinase"
	"Full length insert cDNA clone YY93G09"
"TRAFD1"	"TRAF-type zinc finger domain containing 1"
"DSCR3"	"Down syndrome critical region gene 3"
"PLOD2"	"Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2"
"KIF3C"	"Kinesin family member 3C"
"OBSL1"	"Obscurin-like 1"
"CLK3"	"CDC-like kinase 3"
"RSAD2"	"Radical S-adenosyl methionine domain containing 2"
"CCT7"	"Chaperonin containing TCP1, subunit 7 (eta)"
"TBRG4"	"Transforming growth factor beta regulator 4"
"BRDT"	"Bromodomain, testis-specific"
"WASF3"	"WAS protein family, member 3"
"BCKDHB"	"Branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)"
"BMP7"	"Bone morphogenetic protein 7 (osteogenic protein 1)"
"BMP1"	"Bone morphogenetic protein 1"
"CRYBA4"	"Crystallin, beta A4"
"FGFR1"	"Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)"
"SLC25A5"	"Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
"ADD2"	"Adducin 2 (beta)"
"AOAH"	"Acyloxyacyl hydrolase (neutrophil)"
"ACVR2A"	"Activin A receptor, type IIA"
"DSTN"	"**Destrin (actin depolymerizing factor)"
	"Transcribed locus"
"LIPG"	"Lipase, endothelial"
"NGDN"	"Neuroguidin, EIF4E binding protein"
"LOC401152"	"HCV F-transactivated protein 1"
	"CDNA clone IMAGE:5302158"
"MAFB"	"**V-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)"
"GALNT10"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)"
"FZR1"	"Fizzy/cell division cycle 20 related 1 (Drosophila)"
	
"C5orf4"	"Chromosome 5 open reading frame 4"
"KIAA1086"	"KIAA1086"
"WDR57"	"WD repeat domain 57 (U5 snRNP specific)"
	
"RGS4"	"Regulator of G-protein signalling 4"
"PAG1"	"Phosphoprotein associated with glycosphingolipid microdomains 1"
	
"KCNV1"	"Potassium channel, subfamily V, member 1"
	"**Transcribed locus, strongly similar to XP_523485.1 similar to Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor (Complex III subunit II) [Pan troglodytes]"
	"Transcribed locus"
"MFSD11"	"Major facilitator superfamily domain containing 11"
"YPEL4"	"Yippee-like 4 (Drosophila)"
"FAM14B"	"Family with sequence similarity 14, member B"
"NRG3"	"Neuregulin 3"
"ZFYVE1"	"Zinc finger, FYVE domain containing 1"
"PXMP4"	"Peroxisomal membrane protein 4, 24kDa"
"TANC2"	"Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"
"VHL"	"Von Hippel-Lindau tumor suppressor"
"METTL7B"	"Methyltransferase like 7B"
	
"PDPR"	"Pyruvate dehydrogenase phosphatase regulatory subunit"
"C14orf101"	"Chromosome 14 open reading frame 101"
"TMEM55B"	"Transmembrane protein 55B"
"SOCS5"	"Suppressor of cytokine signaling 5"
"HSPC159"	"Galectin-related protein"
	"**CDNA clone IMAGE:3030163"
"DUSP16"	"Dual specificity phosphatase 16"
"BTBD6"	"BTB (POZ) domain containing 6"
"WDR47"	"WD repeat domain 47"
"SLC39A1"	"Solute carrier family 39 (zinc transporter), member 1"
"B3GAT2"	"Beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)"
"LRRC39"	"Leucine rich repeat containing 39"
"ECHDC2"	"Enoyl Coenzyme A hydratase domain containing 2"
"RNF138"	"Ring finger protein 138"
"YARS2"	"Tyrosyl-tRNA synthetase 2, mitochondrial"
"TWSG1"	"Twisted gastrulation homolog 1 (Drosophila)"
"TRY1"	"Trypsin X3"
"BPTF"	"Bromodomain PHD finger transcription factor"
"FNBP1L"	"Formin binding protein 1-like"
"C6orf55"	"Chromosome 6 open reading frame 55"
	"Full-length cDNA clone CS0CAP006YG04 of Thymus of Homo sapiens (human)"
"MYO9B"	"Myosin IXB"
"WDR13"	"WD repeat domain 13"
"MTDH"	"Metadherin"
"SLC39A2"	"Solute carrier family 39 (zinc transporter), member 2"
"KIF2A"	"Kinesin heavy chain member 2A"
"SAP30BP"	"SAP30 binding protein"
"SUCLG1"	"Succinate-CoA ligase, GDP-forming, alpha subunit"
"SORBS2"	"Sorbin and SH3 domain containing 2"
"SLC6A15"	"Solute carrier family 6, member 15"
"SRP72"	"Signal recognition particle 72kDa"
"BRD4"	"Bromodomain containing 4"
"SETD2"	"SET domain containing 2"
"PLDN"	"Pallidin homolog (mouse)"
"KLF13"	"Kruppel-like factor 13"
"KTI12"	"KTI12 homolog, chromatin associated (S. cerevisiae)"
"CAMSAP1"	"Calmodulin regulated spectrin-associated protein 1"
"MAP7D1"	"MAP7 domain containing 1"
